benchmark_id,N,db_type,content_size,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,peak_rss_mb
test_benchmark_db_fact_content_retrieval,3000,sqlite,medium,0.0327,0.0359,0.0400,0.0331,0.0320,0.1083,354.9688
test_benchmark_db_fact_content_retrieval,3000,sqlite,small,0.0325,0.0358,0.0399,0.0330,0.0318,0.5030,325.7812
test_benchmark_db_fact_content_retrieval,3500,postgres,large,1.3110,2.4936,2.9544,1.4174,0.8862,5.8001,320.5625
test_benchmark_db_fact_content_retrieval,3500,postgres,medium,1.1667,2.2389,2.5763,1.2566,0.7920,2.8042,379.7031
test_benchmark_db_fact_content_retrieval,3500,postgres,small,1.1117,1.7628,2.4970,1.1565,0.7104,7.1650,362.0781
test_benchmark_db_fact_content_retrieval,3500,sqlite,large,0.0326,0.0358,0.0395,0.0330,0.0320,0.0763,297.8438
test_benchmark_db_fact_content_retrieval,3500,sqlite,medium,0.0327,0.0373,0.0414,0.0334,0.0319,0.1059,357.8438
test_benchmark_db_fact_content_retrieval,3500,sqlite,small,0.0329,0.0393,0.0456,0.0345,0.0320,0.9728,378.3750
test_benchmark_db_fact_content_retrieval,4000,postgres,large,1.6905,3.1654,3.4335,1.8288,1.1764,7.0392,378.1406
test_benchmark_db_fact_content_retrieval,4000,postgres,medium,1.3140,1.6838,2.3401,1.3648,1.0676,5.2534,353.1250
test_benchmark_db_fact_content_retrieval,4000,postgres,small,1.4258,2.3254,2.7803,1.4818,0.9748,4.1378,288.2812
test_benchmark_db_fact_content_retrieval,4000,sqlite,large,0.0327,0.0386,0.0421,0.0335,0.0318,0.1248,317.3906
test_benchmark_db_fact_content_retrieval,4000,sqlite,medium,0.0325,0.0355,0.0395,0.0329,0.0318,0.0801,368.3906
test_benchmark_db_fact_content_retrieval,4000,sqlite,small,0.0326,0.0390,0.0429,0.0338,0.0318,0.1164,356.2344
test_benchmark_db_fact_content_retrieval,4500,postgres,large,0.0794,0.1176,0.1665,0.0830,0.0654,0.2980,377.0625
test_benchmark_db_fact_content_retrieval,4500,postgres,medium,0.0788,0.0839,0.0890,0.0788,0.0671,0.1459,318.0000
test_benchmark_db_fact_content_retrieval,4500,postgres,small,0.0787,0.0835,0.0899,0.0789,0.0665,0.3786,327.8906
test_benchmark_db_fact_content_retrieval,4500,sqlite,large,0.0326,0.0360,0.0401,0.0331,0.0319,0.1196,427.4062
test_benchmark_db_fact_content_retrieval,4500,sqlite,medium,0.0326,0.0361,0.0394,0.0331,0.0320,0.1023,614.8281
test_benchmark_db_fact_content_retrieval,4500,sqlite,small,0.0325,0.0355,0.0394,0.0329,0.0320,0.0767,641.5469
test_benchmark_db_fact_content_retrieval,5000,postgres,large,0.0791,0.0849,0.0897,0.0792,0.0627,0.1480,376.4688
test_benchmark_db_fact_content_retrieval,5000,postgres,medium,0.0791,0.0839,0.0883,0.0789,0.0673,0.1573,305.1406
test_benchmark_db_fact_content_retrieval,5000,postgres,small,0.0799,0.0839,0.0878,0.0801,0.0683,0.1224,390.7812
test_benchmark_db_fact_content_retrieval,5000,sqlite,large,0.0326,0.0373,0.0466,0.0341,0.0317,0.4547,403.9219
test_benchmark_db_fact_content_retrieval,5000,sqlite,medium,0.0325,0.0362,0.0400,0.0330,0.0318,0.0810,428.1562
test_benchmark_db_fact_content_retrieval,5000,sqlite,small,0.0339,0.0364,0.0397,0.0341,0.0320,0.0769,430.9688
test_benchmark_end_to_end_recall,5,postgres,large,27.4596,40.1752,52.5003,27.9819,16.3655,57.7071,174.2500
test_benchmark_end_to_end_recall,5,postgres,medium,24.3897,35.6015,38.2447,25.5773,18.0560,38.7640,172.9219
test_benchmark_end_to_end_recall,5,postgres,small,22.6954,30.6003,36.3247,23.6318,17.5237,40.0899,176.0781
test_benchmark_end_to_end_recall,5,sqlite,large,16.6595,27.0319,29.4202,18.0765,11.7177,32.8766,662.5938
test_benchmark_end_to_end_recall,5,sqlite,medium,16.7892,25.4295,28.0589,17.6742,12.7487,30.2829,641.3281
test_benchmark_end_to_end_recall,5,sqlite,small,15.3914,23.8587,24.5033,15.8714,10.4335,25.0150,636.6406
test_benchmark_end_to_end_recall,50,postgres,large,21.1652,32.0418,33.5719,23.1758,17.0033,34.3695,217.0938
test_benchmark_end_to_end_recall,50,postgres,medium,25.4759,37.2132,38.3257,26.0592,14.8160,38.6036,216.0312
test_benchmark_end_to_end_recall,50,postgres,small,24.2297,35.2324,35.7093,25.3331,16.5139,35.7300,215.5469
test_benchmark_end_to_end_recall,50,sqlite,large,11.1098,22.1661,24.4585,13.4473,10.0521,24.7967,214.9062
